Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
1;N2;Neo Discovery;54/75;Unlimited;;01/06/2001;x;EN_1
1;N2;Neo Discovery;54/75;1st Ed.;;01/06/2001;x;EN_2
2;SK;Skyridge;53/144;Regular;;12/05/2003;;EN_3
2;SK;Skyridge;53/144;Reverse;;12/05/2003;;EN_4
3;SS;Ex Sandstorm;60/100;Regular;E-Reader, Code: QZK-UYU-DOP;18/09/2003;;EN_5
3;SS;Ex Sandstorm;60/100;Regular;E-Reader, Code: QZK-UYU-83X;18/09/2003;x;EN_6
3;SS;Ex Sandstorm;60/100;Regular;E-Reader, Code: QZK-UYU-7QG;18/09/2003;;EN_7
3;SS;Ex Sandstorm;60/100;Reverse;E-Reader, Code: QZK-UYU-DTD;18/09/2003;x;EN_8
3;SS;Ex Sandstorm;60/100;Regular No E-Reader;No E-Reader - EX Battle Stadium;18/10/2004;;EN_9
3;SS;WCS 2004;60/100;World Championships 2004 - Reed Weichler;Reed Weichler - Rocky Beach;01/11/2004;;EN_10
3;SS;WCS 2004;60/100;World Championships 2004 - Kevin Nguyen;Kevin Nguyen - Team Rushdown;01/11/2004;;EN_11
3;SS;WCS 2004;60/100;World Championships 2004 - Chris Fulop;Chris Fulop - Blaziken Tech;01/11/2004;;EN_12
3;SS;Ex Sandstorm;60/100;Regular No E-Reader;No E-Reader - Gardevoir EX Deck;13/07/2005;;EN_13
3;SS;WCS 2005;60/100;World Championships 2005 - Takashi Yoneda;Takashi Yoneda - Dark Tyranitar;31/10/2005;;EN_14
3;SS;WCS 2005;60/100;World Championships 2005 - Michael Gonzalez;Michael Gonzalez - King of the West;31/10/2005;x;EN_15
4;LM;Ex Legend Maker;31/92;Regular;;13/02/2006;x;EN_16
4;LM;Ex Legend Maker;31/92;Reverse;;13/02/2006;x;EN_17
5;MT;Mysterious Treasures;47/123;Regular;;22/08/2007;x;EN_18
5;MT;Mysterious Treasures;47/123;Reverse;;22/08/2007;x;EN_19
7;PL;Platinum;73/127;Regular;;11/02/2009;x;EN_20
7;PL;Platinum;73/127;Reverse;;11/02/2009;x;EN_21
8;HS;Heartgold & Soulsilver;41/123;Regular;;10/02/2010;x;EN_22
8;HS;Heartgold & Soulsilver;41/123;Reverse;;10/02/2010;x;EN_23
9;UL;Unleashed;29/95;Regular;;12/05/2010;x;EN_24
9;UL;Unleashed;29/95;Reverse;;12/05/2010;x;EN_25
10;BCR;Boundaries Crossed;111/149;Regular;;07/11/2012;x;EN_26
10;BCR;Boundaries Crossed;111/149;Reverse;;07/11/2012;x;EN_27
11;XY;XY;101/146;Regular;;05/02/2014;x;EN_28
11;XY;XY;101/146;Reverse;;05/02/2014;x;EN_29
12;ROS;Roaring Skies;68/108;Regular;;06/05/2015;x;EN_30
12;ROS;Roaring Skies;68/108;Reverse;;06/05/2015;x;EN_31
13;BKP;BREAKpoint;90/122;Regular;;03/02/2016;x;EN_32
13;BKP;BREAKpoint;90/122;Reverse;;03/02/2016;x;EN_33
