Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
5;MT;Mysterious Treasures;47/123;Regular;;22/08/2007;;ES_1
7;PL;Platinum;73/127;Regular;;11/02/2009;;ES_2
8;HS;Heartgold & Soulsilver;41/123;Regular;;10/02/2010;;ES_3
8;HS;Heartgold & Soulsilver;41/123;Reverse;;10/02/2010;;ES_4
9;UL;Unleashed;29/95;Regular;;12/05/2010;;ES_5
9;UL;Unleashed;29/95;Reverse;;12/05/2010;;ES_6
10;BCR;Boundaries Crossed;111/149;Regular;;07/11/2012;;ES_7
10;BCR;Boundaries Crossed;111/149;Reverse;;07/11/2012;;ES_8
11;XY;XY;101/146;Regular;;05/02/2014;x;ES_9
11;XY;XY;101/146;Reverse;;05/02/2014;x;ES_10
12;ROS;Roaring Skies;68/108;Regular;;06/05/2015;x;ES_11
12;ROS;Roaring Skies;68/108;Reverse;;06/05/2015;;ES_12
13;BKP;BREAKpoint;90/122;Regular;;03/02/2016;x;ES_13
13;BKP;BREAKpoint;90/122;Reverse;;03/02/2016;x;ES_14
14;CES;Celestial Storm;110/168;Regular;;03/08/2018;x;ES_15
14;CES;Celestial Storm;110/168;Reverse;;03/08/2018;;ES_16
15;DAA;Darkness Ablaze;137/189;Regular;;04/08/2020;x;ES_17
15;DAA;Darkness Ablaze;137/189;Reverse;;04/08/2020;;ES_18
16;FST;Fusion Strike;207/264;Regular;;12/11/2021;x;ES_19
16;FST;Fusion Strike;207/264;Reverse;;12/11/2021;;ES_20
16;PPS2 FST;Prize Pack Series 2;207/264;Regular;;19/01/2023;;ES_21
17;CRZ;Crown Zenith;GG23/GG70;Trainer Gallery;;20/01/2023;;ES_22
18;PAL;Paldea Evolved;156/193;Regular;;09/06/2023;x;ES_23
18;PAL;Paldea Evolved;156/193;Reverse;;09/06/2023;;ES_24
19;PAL;Paldea Evolved;157/193;Regular;;09/06/2023;x;ES_25
19;PAL;Paldea Evolved;157/193;Reverse;;09/06/2023;;ES_26
20;PAL;Paldea Evolved;229/193;Trainer Gallery;;09/06/2023;;ES_27
21;TEF;Temporal Forces;128/162;Regular;;22/03/2024;x;ES_28
21;TEF;Temporal Forces;128/162;Reverse;;22/03/2024;x;ES_29
22;TEF;Temporal Forces;129/162;Regular;;22/03/2024;x;ES_30
22;TEF;Temporal Forces;129/162;Reverse;;22/03/2024;x;ES_31
21;PRE;Prismatic Evolution;079/131;Regular;;17/01/2025;;ES_32
21;PRE;Prismatic Evolution;079/131;Reverse;;17/01/2025;;ES_33
21;PRE;Prismatic Evolution;079/131;Reverse Pokeball;;17/01/2025;;ES_34
21;PRE;Prismatic Evolution;079/131;Reverse Masterball;;17/01/2025;;ES_35
22;PRE;Prismatic Evolution;080/131;Regular;;17/01/2025;;ES_36
22;PRE;Prismatic Evolution;080/131;Reverse;;17/01/2025;;ES_37
22;PRE;Prismatic Evolution;080/131;Reverse Pokeball;;17/01/2025;;ES_38
22;PRE;Prismatic Evolution;080/131;Reverse Masterball;;17/01/2025;;ES_39
23;JTG;Journey Togheter;120/159;Regular;;28/03/2025;x;ES_40
23;JTG;Journey Togheter;120/159;Reverse;;28/03/2025;x;ES_41
24;JTG;Journey Togheter;121/159;Regular;;28/03/2025;;ES_42
25;JTG;Journey Togheter;120/159;Full Art;;28/03/2025;;ES_43
22;PPS7 TEF;Prize Pack Series 7;129/162;Cosmo Holo;;14/08/2025;;ES_44
26;ASC;Ascended Heroes;163/159;Regular;;30/01/2026;;ES_45
26;ASC;Ascended Heroes;163/159;Pokeball;;30/01/2026;;ES_46
26;ASC;Ascended Heroes;163/159;Energy;;30/01/2026;;ES_47
27;ASC;Ascended Heroes;164/217;Regular;;30/01/2026;;ES_48
