Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
1;N2;Neo Discovery;54/75;1st Ed.;;01/06/2001;;FR_1
1;N2;Neo Discovery;54/75;Unlimited;;01/06/2001;;FR_2
2;SK;Skyridge;53/144;Regular;;12/05/2003;;FR_3
2;SK;Skyridge;53/144;Reverse;;12/05/2003;;FR_4
3;SS;Ex Sandstorm;60/100;Regular;No E-Reader, Code: QZK-UYU-DOP;18/09/2003;;FR_5
3;SS;Ex Sandstorm;60/100;Regular;No E-Reader, Code: QZK-UYU-83X;18/09/2003;;FR_6
3;SS;Ex Sandstorm;60/100;Regular;No E-Reader, Code: QZK-UYU-7QG;18/09/2003;;FR_7
3;SS;Ex Sandstorm;60/100;Reverse;No E-Reader, Code: QZK-UYU-DTD;18/09/2003;;FR_8
4;LM;Ex Legend Maker;31/92;Regular;;13/02/2006;;FR_9
4;LM;Ex Legend Maker;31/92;Reverse;;13/02/2006;;FR_10
5;MT;Mysterious Treasures;47/123;Regular;;22/08/2007;;FR_11
5;MT;Mysterious Treasures;47/123;Reverse;;22/08/2007;;FR_12
7;PL;Platinum;73/127;Regular;;11/02/2009;;FR_13
7;PL;Platinum;73/127;Reverse;;11/02/2009;;FR_14
8;HS;Heartgold & Soulsilver;41/123;Regular;;10/02/2010;;FR_15
8;HS;Heartgold & Soulsilver;41/123;Reverse;;10/02/2010;;FR_16
9;UL;Unleashed;29/95;Regular;;12/05/2010;;FR_17
9;UL;Unleashed;29/95;Reverse;;12/05/2010;;FR_18
10;BCR;Boundaries Crossed;111/149;Regular;;07/11/2012;;FR_19
10;BCR;Boundaries Crossed;111/149;Reverse;;07/11/2012;;FR_20
11;XY;XY;101/146;Regular;;05/02/2014;;FR_21
11;XY;XY;101/146;Reverse;;05/02/2014;;FR_22
12;ROS;Roaring Skies;68/108;Regular;;06/05/2015;x;FR_23
12;ROS;Roaring Skies;68/108;Reverse;;06/05/2015;;FR_24
13;BKP;BREAKpoint;90/122;Regular;;03/02/2016;x;FR_25
13;BKP;BREAKpoint;90/122;Reverse;;03/02/2016;;FR_26
14;CES;Celestial Storm;110/168;Regular;;03/08/2018;;FR_27
14;CES;Celestial Storm;110/168;Reverse;;03/08/2018;;FR_28
15;DAA;Darkness Ablaze;137/189;Regular;;04/08/2020;x;FR_29
15;DAA;Darkness Ablaze;137/189;Reverse;;04/08/2020;;FR_30
16;FST;Fusion Strike;207/264;Regular;;12/11/2021;x;FR_31
16;FST;Fusion Strike;207/264;Reverse;;12/11/2021;;FR_32
16;PPS2 FST;Prize Pack Series 2;207/264;Regular;;19/01/2023;;FR_33
17;CRZ;Crown Zenith;GG23/GG70;Trainer Gallery;;20/01/2023;;FR_34
18;PAL;Paldea Evolved;156/193;Regular;;09/06/2023;;FR_35
18;PAL;Paldea Evolved;156/193;Reverse;;09/06/2023;;FR_36
19;PAL;Paldea Evolved;157/193;Regular;;09/06/2023;;FR_37
19;PAL;Paldea Evolved;157/193;Reverse;;09/06/2023;;FR_38
20;PAL;Paldea Evolved;229/193;Trainer Gallery;;09/06/2023;;FR_39
21;TEF;Temporal Forces;128/162;Regular;;22/03/2024;;FR_40
21;TEF;Temporal Forces;128/162;Reverse;;22/03/2024;;FR_41
22;TEF;Temporal Forces;129/162;Regular;;22/03/2024;x;FR_42
22;TEF;Temporal Forces;129/162;Reverse;;22/03/2024;;FR_43
21;PRE;Prismatic Evolution;079/131;Regular;;17/01/2025;;FR_44
21;PRE;Prismatic Evolution;079/131;Reverse;;17/01/2025;;FR_45
21;PRE;Prismatic Evolution;079/131;Reverse Pokeball;;17/01/2025;;FR_46
21;PRE;Prismatic Evolution;079/131;Reverse Masterball;;17/01/2025;;FR_47
22;PRE;Prismatic Evolution;080/131;Regular;;17/01/2025;;FR_48
22;PRE;Prismatic Evolution;080/131;Reverse;;17/01/2025;;FR_49
22;PRE;Prismatic Evolution;080/131;Reverse Pokeball;;17/01/2025;;FR_50
22;PRE;Prismatic Evolution;080/131;Reverse Masterball;;17/01/2025;;FR_51
23;JTG;Journey Togheter;120/159;Regular;;28/03/2025;;FR_52
23;JTG;Journey Togheter;120/159;Reverse;;28/03/2025;;FR_53
24;JTG;Journey Togheter;121/159;Regular;;28/03/2025;;FR_54
25;JTG;Journey Togheter;120/159;Full Art;;28/03/2025;;FR_55
22;PPS7 TEF;Prize Pack Series 7;129/162;Cosmo Holo;;14/08/2025;;FR_56
26;ASC;Ascended Heroes;163/159;Regular;;30/01/2026;;FR_57
26;ASC;Ascended Heroes;163/159;Pokeball;;30/01/2026;;FR_58
26;ASC;Ascended Heroes;163/159;Energy;;30/01/2026;;FR_59
27;ASC;Ascended Heroes;164/217;Regular;;30/01/2026;;FR_60
