Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
14;AS3b;Bayangan Tersembunyi Set B;142/183;Regular;;03/05/2018
15;SC3a I;Koleksi VMAX Berkilau Set A;117/159;Regular;;05/06/2020
16;S8 I;Teknik Fusion;079/100;Regular;;24/09/2021
16;S12a I;VSTAR Semesta;118/172;Regular;;02/12/2022
16;S12a I;VSTAR Semesta;118/172;Reverse;olografia reverse cosmo;02/12/2022
17;S12a I;VSTAR Semesta;198/172;Trainer Gallery;;02/12/2022
18;SV2P I;Mara Bahaya Salju;056/071;Regular;;14/04/2023
19;SV2P I;Mara Bahaya Salju;057/071;Regular;;14/04/2023
20;SV2P I;Mara Bahaya Salju;083/071;Trainer Gallery;;14/04/2023
18;SVDS I;Deck Ringkas ex;121/163;Regular;;07/07/2023
21;SV5S I;Paradoks Andalan;110/142;Regular;;26/01/2024
22;SV5S I;Paradoks Andalan;111/142;Regular;;26/01/2024
