Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
1;CTR;Crossing the Ruins;;Unlimited;;07/07/2000;x;JP_1
PR1;;Pokémon Card Information Vol. 1 insert (January 1, 2001);UNP;Promo;;01/01/2001;x;JP_2
2;EC4;Split Earth;067/088;1st Ed.;;23/08/2002;x;JP_3
2;EC4;Split Earth;067/088;Unlimited;;04/10/2002;;JP_4
3;;Magma VS Aqua: Two Ambitions;056/080;1st Ed.;;24/10/2003;;JP_5
3;;Magma VS Aqua: Two Ambitions;056/080;Unlimited;;24/10/2003;;JP_6
4;;Mirage Forest;061/087;1st Ed.;cod 1;30/06/2005;;JP_7
4;;Mirage Forest;061/087;1st Ed.;cod 2;30/06/2005;;JP_8
4;;Mirage Forest;061/087;Unlimited;cod 1;30/06/2005;;JP_9
4;;Mirage Forest;061/087;Unlimited;cod 2;30/06/2005;;JP_10
5;DP2;Secret of the Lakes;;1st Ed.;;02/03/2007;;JP_11
5;DP2;Secret of the Lakes;;Unlimited;;02/03/2007;;JP_12
6;RtA;Rampardos the Attacker;;Unlimited;alt art della carta di DP2;02/03/2007;;JP_13
7;DPtD;Dialga Half Deck;008/013;Unlimited;;10/10/2008;x;JP_14
8;L1HG;Heartgold Collection;061/070;1st Ed.;;09/10/2009;x;JP_15
8;L1HG;Heartgold Collection;061/070;Reverse;;09/10/2009;;JP_16
9;MED;Leafeon vs Metagross Expert Deck +Online;007/014;Unlimited;E' una carta da trial deck.;20/11/2009;x;JP_17
10;BW6;Cold Flare;043/059;1st Ed.;;13/07/2012;x;JP_18
10;BW6;Cold Flare;043/059;Unlimited;;13/07/2012;x;JP_19
11;XY1;Collection X;046/060;1st Ed.;;13/12/2013;x;JP_20
11;XY1;Collection X;046/060;Unlimited;;13/12/2013;x;JP_21
12;XY6;Emerald Break;054/078;1st Ed.;;14/03/2015;x;JP_22
12;XY6;Emerald Break;054/078;Unlimited;;14/03/2015;;JP_23
13;XYE;Emboar EX Half Deck;013/022;Unlimited;E' una carta da trial deck.;18/07/2015;;JP_24
14;SM6b;Champion Road;047/066;Regular;;03/05/2018;x;JP_25
14;SM8b;GX Ultra Shiny;106/150;Regular;;02/11/2018;x;JP_26
14;SM8b;GX Ultra Shiny;106/150;Reverse;;02/11/2018;x;JP_27
15;S3;Infinity Zone;075/100;Regular;;05/06/2020;x;JP_28
16;S8;Fusion Arts;079/100;Regular;;24/09/2021;x;JP_29
16;S12a;VSTAR Universe;118/172;Regular;;02/12/2022;x;JP_30
16;S12a;VSTAR Universe;118/172;Reverse;;02/12/2022;x;JP_31
17;S12a;VSTAR Universe;198/172;Trainer Gallery;;02/12/2022;x;JP_32
18;SV2P;Snow Hazard;056/071;Regular;;14/04/2023;x;JP_33
19;SV2P;Snow Hazard;057/072;Regular;;14/04/2023;x;JP_34
20;SV2P;Snow Hazard;083/071;Trainer Gallery;;14/04/2023;x;JP_35
18;SVD;Fighting Koraidon ex Start Deck;092/139;Regular;;07/07/2023;x;JP_36
3;CLL;Pokemon Card Game Classic;015/032;Regular;;25/10/2023;x;JP_37
21;SV5K;Wild Force;056/071;Regular;;26/01/2024;x;JP_38
22;SV5K;Wild Force;057/061;Regular;;26/01/2024;x;JP_39
18;SVM;Generation Start Deck Lugia ex & Tyranitar ex;095/175;Regular;;22/11/2024;x;JP_40
21;SV8a;Terastal Fest ex;129/187;Regular;;06/12/2024;x;JP_41
21;SV8a;Terastal Fest ex;129/187;Reverse Pokeball;;06/12/2024;x;JP_42
21;SV8a;Terastal Fest ex;129/187;Reverse Masterball;;06/12/2024;x;JP_43
22;SV8a;Terastal Fest ex;130/187;Regular;;06/12/2024;x;JP_44
22;SV8a;Terastal Fest ex;130/187;Reverse Pokeball;;06/12/2024;x;JP_45
22;SV8a;Terastal Fest ex;130/187;Reverse Masterball;;06/12/2024;x;JP_46
23;SV9;Battle Partners;078/100;Regular;;24/01/2025;x;JP_47
24;SV9;Battle Partners;079/100;Regular;;24/01/2025;x;JP_48
25;SV9;Battle Partners;120/100;Full Art;;24/01/2025;x;JP_49
22;M-P;M-P Promotional Cards;048/M-P;Regular;;01/11/2025;;JP_50
23;MC;Starter Deck 100 Battle Collection;574/742;Regular;;19/12/2025;;JP_51
24;MC;Starter Deck 100 Battle Collection;575/742;Regular;;19/12/2025;;JP_52
26;MC;Starter Deck 100 Battle Collection;576/742;Regular;;19/12/2025;;JP_53
27;MC;Starter Deck 100 Battle Collection;577/742;Regular;;19/12/2025;;JP_54
