Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
5;BS1;Start of an Adventure;45/60;Unlimited;;12/05/2010;;KR_1
10;BW6;Cold Flare;043/059;Unlimited;;01/12/2012;;KR_2
11;XY1;Collection X;046/060;Unlimited;;01/03/2014;;KR_3
12;XY6;Emerald Break;054/078;Unlimited;;01/04/2015;;KR_4
13;XYE;Emboar EX Half Deck;013/022;Unlimited;E' una carta da trial deck.;08/09/2015;;KR_5
14;SM6b;Champion Road;047/066;Regular;;02/07/2018;;KR_6
14;SM8b;GX Ultra Shiny;106/150;Regular;;28/02/2019;;KR_7
14;SM8b;GX Ultra Shiny;106/150;Reverse;;28/02/2019;x;KR_8
15;S3;Infinity Zone;075/100;Regular;;22/07/2020;;KR_9
16;S8;Fusion Arts;079/100;Regular;;01/12/2021;x;KR_10
16;S12a;VSTAR Universe;118/172;Regular;;13/01/2023;;KR_11
16;S12a;VSTAR Universe;118/172;Reverse;;13/01/2023;;KR_12
17;S12a;VSTAR Universe;198/172;Trainer Gallary;;13/01/2023;;KR_13
18;SV2P;Snow Hazard;056/071;Regular;;14/06/2023;;KR_14
18;SVD;Fighting Koraidon ex Start Deck;092/139;Regular;;08/09/2023;;KR_15
19;SV2P;Snow Hazard;057/072;Regular;;14/06/2023;;KR_16
20;SV2P;Snow Hazard;083/071;Trainer Gallary;;14/06/2023;x;KR_17
21;SV5K;Wild Force;056/071;Regular;;06/03/2024;;KR_18
22;SV5K;Wild Force;057/061;Regular;;06/03/2024;;KR_19
18;SVM;Generation Start Deck Lugia ex & Tyranitar ex;095/175;Regular;;20/12/2024;;KR_20
