Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
4;LM;Ex Legend Maker;31/92;Regular;;13/02/2006;;PT_1
4;LM;Ex Legend Maker;31/92;Reverse;;13/02/2006;;PT_2
5;MT;Mysterious Treasures;47/123;Regular;;22/08/2007;;PT_3
8;HS;Heartgold & Soulsilver;41/123;Regular;;10/02/2010;;PT_4
9;UL;Unleashed;29/95;Regular;;12/05/2010;;PT_5
10;BCR;Boundaries Crossed;111/149;Regular;;07/11/2012;;PT_6
11;XY;XY;101/146;Regular;;05/02/2014;;PT_7
12;ROS;Roaring Skies;68/108;Regular;;06/05/2015;;PT_8
13;BKP;BREAKpoint;90/122;Regular;;03/02/2016;;PT_9
14;CES;Celestial Storm;110/168;Regular;;03/08/2018;;PT_10
14;CES;Celestial Storm;110/168;Reverse;;03/08/2018;;PT_11
15;DAA;Darkness Ablaze;137/189;Regular;;04/08/2020;;PT_12
15;DAA;Darkness Ablaze;137/189;Reverse;;04/08/2020;;PT_13
16;FST;Fusion Strike;207/264;Regular;;12/11/2021;;PT_14
16;FST;Fusion Strike;207/264;Reverse;;12/11/2021;;PT_15
16;PPS2 FST;Prize Pack Series 2;207/264;Regular;;19/01/2023;;PT_16
17;CRZ;Crown Zenith;GG23/GG70;Trainer Gallery;;20/01/2023;;PT_17
18;PAL;Paldea Evolved;156/193;Regular;;09/06/2023;;PT_18
18;PAL;Paldea Evolved;156/193;Reverse;;09/06/2023;;PT_19
19;PAL;Paldea Evolved;157/193;Regular;;09/06/2023;;PT_20
19;PAL;Paldea Evolved;157/193;Reverse;;09/06/2023;;PT_21
20;PAL;Paldea Evolved;229/193;Trainer Gallery;;09/06/2023;;PT_22
21;TEF;Temporal Forces;128/162;Regular;;22/03/2024;x;PT_23
21;TEF;Temporal Forces;128/162;Reverse;;22/03/2024;;PT_24
22;TEF;Temporal Forces;129/162;Regular;;22/03/2024;;PT_25
22;TEF;Temporal Forces;129/162;Reverse;;22/03/2024;;PT_26
21;PRE;Prismatic Evolution;079/131;Regular;;17/01/2025;;PT_27
21;PRE;Prismatic Evolution;079/131;Reverse;;17/01/2025;;PT_28
21;PRE;Prismatic Evolution;079/131;Reverse Pokeball;;17/01/2025;;PT_29
21;PRE;Prismatic Evolution;079/131;Reverse Masterball;;17/01/2025;;PT_30
22;PRE;Prismatic Evolution;080/131;Regular;;17/01/2025;;PT_31
22;PRE;Prismatic Evolution;080/131;Reverse;;17/01/2025;;PT_32
22;PRE;Prismatic Evolution;080/131;Reverse Pokeball;;17/01/2025;;PT_33
22;PRE;Prismatic Evolution;080/131;Reverse Masterball;;17/01/2025;;PT_34
23;JTG;Journey Togheter;120/159;Regular;;28/03/2025;;PT_35
23;JTG;Journey Togheter;120/159;Reverse;;28/03/2025;;PT_36
24;JTG;Journey Togheter;121/159;Regular;;28/03/2025;;PT_37
25;JTG;Journey Togheter;120/159;Full Art;;28/03/2025;;PT_38
