Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
15;CS2b C;Vivid Portrayals;095/115;Regular;;18/08/2023;;SIMPL-CH_1
15;CS2b C;Vivid Portrayals;095/115;Reverse;;18/08/2023;;SIMPL-CH_2
16;CS4a C;Nine Colors Gathering;112/132;Regular;;01/03/2024;;SIMPL-CH_3
16;CS4a C;Nine Colors Gathering;112/132;Reverse;;01/03/2024;;SIMPL-CH_4
17;CS5D C;Brave Stars V Staret Deck;155/;Trainer Gallery;;18/06/2024;x;SIMPL-CH_5
16;CSZ C;Variety Treasure Box;019/066;Regular;;15/11/2024;;SIMPL-CH_6
18;CSV3 C;Fearless Terastal;098/130;Regular;;16/05/2025;;SIMPL-CH_7
18;CSV3 C;Fearless Terastal;098/130;Reverse Pokeball;;16/05/2025;;SIMPL-CH_8
18;CSV3 C;Fearless Terastal;098/130;Reverse Masterball;;16/05/2025;;SIMPL-CH_9
19;CSV3 C;Fearless Terastal;099/130;Regular;;16/05/2025;;SIMPL-CH_10
19;CSV3 C;Fearless Terastal;099/130;Reverse Pokeball;;16/05/2025;;SIMPL-CH_11
19;CSV3 C;Fearless Terastal;099/130;Reverse Masterball;;16/05/2025;;SIMPL-CH_12
20;CSV3 C;Fearless Terastal;138/130;Trainer Gallery;;16/05/2025;x;SIMPL-CH_13
21;CSV7 C;Blade Awakened;161/204;Regular;;16/01/2026;;SIMPL-CH_14
21;CSV7 C;Blade Awakened;161/204;Reverse Pokeball;;16/01/2026;;SIMPL-CH_15
21;CSV7 C;Blade Awakened;161/204;Reverse Masterball;;16/01/2026;;SIMPL-CH_16
22;CSV7 C;Blade Awakened;162/204;Regular;;16/01/2026;;SIMPL-CH_17
22;CSV7 C;Blade Awakened;162/204;Reverse Pokeball;;16/01/2026;;SIMPL-CH_18
22;CSV7 C;Blade Awakened;162/204;Reverse Masterball;;16/01/2026;;SIMPL-CH_19
21;CSV95 C;Crystal Gathering;143/208;Regular;;12/06/2026;;SIMPL-CH_20
21;CSV95 C;Crystal Gathering;143/208;Reverse Pokeball;;12/06/2026;;SIMPL-CH_21
21;CSV95 C;Crystal Gathering;143/208;Reverse Masterball;;12/06/2026;;SIMPL-CH_22
22;CSV95 C;Crystal Gathering;144/208;Regular;;12/06/2026;;SIMPL-CH_23
22;CSV95 C;Crystal Gathering;144/208;Reverse Pokeball;;12/06/2026;;SIMPL-CH_24
22;CSV95 C;Crystal Gathering;144/208;Reverse Masterball;;12/06/2026;;SIMPL-CH_25
