Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
14;AC2b;Dreams Come True Collection - Set B;139/200;Regular;;20/12/2019;;TRAD-CH_1
15;SC2a F;Infinity Zone;124/145;Regular;;21/08/2020;;TRAD-CH_2
16;S8 F;Fusion Arts;079/100;Regular;;01/10/2021;;TRAD-CH_3
16;S12a F;VSTAR Climax;118/172;Regular;;16/12/2022;;TRAD-CH_4
16;S12a F;VSTAR Climax;118/172;Reverse;olografia reverse cosmo;16/12/2022;;TRAD-CH_5
17;S12a F;VSTAR Climax;198/172;Trainer Gallery;;16/12/2022;;TRAD-CH_6
18;SV2P F;Snow Hazard;056/071;Regular;;28/04/2023;;TRAD-CH_7
19;SV2P F;Snow Hazard;057/071;Regular;;28/04/2023;;TRAD-CH_8
20;SV2P F;Snow Hazard;083/071;Trainer Gallery;;28/04/2023;;TRAD-CH_9
18;SVD F;Koraidon ex deck;121/163;Regular;;21/07/2023;;TRAD-CH_10
21;SV5K F;Wild Force;110/142;Regular;;02/02/2024;;TRAD-CH_11
22;SV5K F;Wild Force;111/142;Regular;;02/02/2024;;TRAD-CH_12
18;SVM F;Generation Start Deck Lugia ex & Tyranitar ex;095/175;Regular;;20/12/2024;;TRAD-CH_13
21;SV8a F;Terastal Fest ex;129/187;Regular;;20/12/2024;;TRAD-CH_14
21;SV8a F;Terastal Fest ex;129/187;Reverse Pokeball;;20/12/2024;;TRAD-CH_15
21;SV8a F;Terastal Fest ex;129/187;Reverse Masterball;;20/12/2024;;TRAD-CH_16
22;SV8a F;Terastal Fest ex;130/187;Regular;;20/12/2024;;TRAD-CH_17
22;SV8a F;Terastal Fest ex;130/187;Reverse Pokeball;;20/12/2024;;TRAD-CH_18
22;SV8a F;Terastal Fest ex;130/187;Reverse Masterball;;20/12/2024;;TRAD-CH_19
23;SV9 F;Battle Partners;078/100;Regular;;07/02/2025;;TRAD-CH_20
24;SV9 F;Battle Partners;079/100;Regular;;07/02/2025;;TRAD-CH_21
25;SV9 F;Battle Partners;120/100;Full Art;;07/02/2025;;TRAD-CH_22
